stage	scientific_purpose	public_entry_point	frozen_contract	canonical_inputs	canonical_outputs	statistical_unit	release_status
acquisition	Verify exact public assets without persisting local paths	reproducibility/ops/verify_acquisition.py	studies/ops/data_sources.yaml	untracked acquisition manifest	verification report with per-asset published and local digest status	asset	executable
public_h5ad_acquisition	Inventory and resumably download public processed phase/reporter H5ADs	studies/ops/acquisition/public_s3.py	studies/ops/data_sources.yaml	unsigned public S3 prefix	verified H5AD files; SHA-256 manifest	asset	executable
exact_pair_preparation	Build unambiguous assay-local same-cell linkages	studies/ops/preparation/build_exact_caches.py	studies/ops/preparation/README.md	public phase and reporter H5ADs	exact reporter caches; linkage audit	reporter-assay observation	executable
phase172_preparation	Build the frozen row-addressable morphology representation and folds	studies/ops/preparation/build_phase172.py	configs/ops/data/reporter_registry.csv	public phase H5AD; exact caches	172D phase cache; field/gene fold arrays	phase cell	executable
canonical_training_export	Export sparse runnable tables and screen tasks	studies/ops/preparation/export_canonical.py	studies/ops/schemas/tables.md	exact caches; phase172 cache	per-reporter canonical bundles; 81 screen tasks	paired observation-endpoint	executable
upstream_to_canonical	Normalize declared OPS release tables into canonical analytical tables	studies/ops/workflows/extract_ops_canonical.py	studies/ops/schemas/tables.md	verified upstream CSV, TSV or Parquet tables plus an untracked mapping manifest	validated canonical tables; adapter manifest; checksummed provenance	paired observation	executable for declared normalized source tables
canonicalization	Map paired observations, sparse assays and exact-cell links to portable tables	studies/ops/adapter.py	studies/ops/schemas/tables.md	external OPS assets	observations; reporters; assays; pairing	paired observation	executable after user preparation
processed_training_release	Acquire and validate the compact Figure 2 training representation	reproducibility/ops/figure2_from_huggingface.py; studies/ops/preparation/validate_processed_release.py	release/huggingface/release_spec.json	Hugging Face processed_ops snapshot	validated shared phase172 matrix; 52 exact reporter caches; canonical bundles	reporter-screen observation	executable end-to-end download, frozen-census validation, canonical export, split materialization and ten-method routing
inventory	Audit atlas cardinalities and sparse topology	studies/ops/workflows/00_inventory.py	configs/ops/figures/figure1.yaml	canonical table manifest	inventory JSON	reporter; screen; reporter-screen assay	executable
split_manifests	Hold out fields, perturbations or entire screens without leakage	measurement-sufficiency split	configs/ops/splits/field.yaml; configs/ops/splits/gene.yaml; configs/ops/splits/strict_screen.yaml	observations	immutable split assignments	held-out group	executable
directed_screen_manifest	Enumerate eligible source-to-destination directions for repeated reporters	studies/ops/runners/full_label/build_strict_screen.py	configs/ops/splits/strict_screen.yaml	canonical reporter bundles; assay topology	directed global-screen plan; immutable fold assignments; direction audit	reporter-destination-screen	executable deterministic builder; target values are not accessed and each held physical screen is removed from every reporter
